population,state,regional_division,state,article_title,revision_id,article_quality
5074296,Alabama,South_East South Central,Alabama,"Brighton, Alabama",1177621572,C
5074296,Alabama,South_East South Central,Alabama,"Brilliant, Alabama",1166016323,GA
5074296,Alabama,South_East South Central,Alabama,"Brookside, Alabama",1170769013,C
5074296,Alabama,South_East South Central,Alabama,"Brookwood, Alabama",1178216914,C
5074296,Alabama,South_East South Central,Alabama,"Brundidge, Alabama",1165537457,C
5074296,Alabama,South_East South Central,Alabama,"Butler, Alabama",1144752979,C
5074296,Alabama,South_East South Central,Alabama,"Calera, Alabama",1165537934,C
5074296,Alabama,South_East South Central,Alabama,"Camden, Alabama",1176316224,GA
5074296,Alabama,South_East South Central,Alabama,"Camp Hill, Alabama",1166017104,C
5074296,Alabama,South_East South Central,Alabama,"Carbon Hill, Alabama",1175376595,C
5074296,Alabama,South_East South Central,Alabama,"Cardiff, Alabama",1166017260,Start
5074296,Alabama,South_East South Central,Alabama,"Carolina, Alabama",1166017310,Start
5074296,Alabama,South_East South Central,Alabama,"Carrollton, Alabama",1096812581,C
5074296,Alabama,South_East South Central,Alabama,"Castleberry, Alabama",1166017442,Start
5074296,Alabama,South_East South Central,Alabama,"Cedar Bluff, Alabama",1177836881,C
5074296,Alabama,South_East South Central,Alabama,"Center Point, Alabama",1174837569,C
5074296,Alabama,South_East South Central,Alabama,"Centre, Alabama",1164314017,C
5074296,Alabama,South_East South Central,Alabama,"Centreville, Alabama",1172134285,C
5074296,Alabama,South_East South Central,Alabama,"Chatom, Alabama",1159488446,C
5074296,Alabama,South_East South Central,Alabama,"Chelsea, Alabama",1165539092,C
5074296,Alabama,South_East South Central,Alabama,"Cherokee, Alabama",1166017755,C
5074296,Alabama,South_East South Central,Alabama,"Chickasaw, Alabama",1165539195,C
5074296,Alabama,South_East South Central,Alabama,"Childersburg, Alabama",1165539227,GA
5074296,Alabama,South_East South Central,Alabama,"Citronelle, Alabama",1165539457,C
5074296,Alabama,South_East South Central,Alabama,"Clanton, Alabama",1158612343,GA
5074296,Alabama,South_East South Central,Alabama,"Clay, Alabama",1177621993,C
5074296,Alabama,South_East South Central,Alabama,"Clayhatchee, Alabama",1166018079,Start
5074296,Alabama,South_East South Central,Alabama,"Clayton, Alabama",1155236230,C
5074296,Alabama,South_East South Central,Alabama,"Cleveland, Alabama",1168466910,C
5074296,Alabama,South_East South Central,Alabama,"Clio, Alabama",1165644511,Start
5074296,Alabama,South_East South Central,Alabama,"Coaling, Alabama",1166018304,C
5074296,Alabama,South_East South Central,Alabama,"Coffee Springs, Alabama",1166018326,Start
5074296,Alabama,South_East South Central,Alabama,"Coffeeville, Alabama",1166029689,C
5074296,Alabama,South_East South Central,Alabama,"Coker, Alabama",1166018360,Start
5074296,Alabama,South_East South Central,Alabama,"Collinsville, Alabama",1177947751,C
5074296,Alabama,South_East South Central,Alabama,"Colony, Alabama",1166018463,GA
5074296,Alabama,South_East South Central,Alabama,"Columbia, Alabama",1166018475,C
5074296,Alabama,South_East South Central,Alabama,"Columbiana, Alabama",1151357569,C
5074296,Alabama,South_East South Central,Alabama,"Coosada, Alabama",1172561590,C
5074296,Alabama,South_East South Central,Alabama,"Cordova, Alabama",1165645181,GA
5074296,Alabama,South_East South Central,Alabama,"Cottonwood, Alabama",1096812941,C
5074296,Alabama,South_East South Central,Alabama,"County Line, Alabama",1166018950,Start
5074296,Alabama,South_East South Central,Alabama,"Courtland, Alabama",1157580326,GA
5074296,Alabama,South_East South Central,Alabama,"Cowarts, Alabama",1166019003,C
5074296,Alabama,South_East South Central,Alabama,"Creola, Alabama",1139764613,GA
5074296,Alabama,South_East South Central,Alabama,"Crossville, Alabama",1166066155,C
5074296,Alabama,South_East South Central,Alabama,"Cuba, Alabama",1175879685,C
5074296,Alabama,South_East South Central,Alabama,"Cullman, Alabama",1180017307,B
5074296,Alabama,South_East South Central,Alabama,"Cusseta, Alabama",1172824345,Start
5074296,Alabama,South_East South Central,Alabama,"Dadeville, Alabama",1158607851,C
5074296,Alabama,South_East South Central,Alabama,"Daleville, Alabama",1154496305,GA
5074296,Alabama,South_East South Central,Alabama,"Daphne, Alabama",1165646156,FA
5074296,Alabama,South_East South Central,Alabama,"Dauphin Island, Alabama",1174226588,B
5074296,Alabama,South_East South Central,Alabama,"Daviston, Alabama",1166066473,C
5074296,Alabama,South_East South Central,Alabama,"Dayton, Alabama",1166066487,C
5074296,Alabama,South_East South Central,Alabama,"Deatsville, Alabama",1166066515,C
5074296,Alabama,South_East South Central,Alabama,"Decatur, Alabama",1178063438,C
5074296,Alabama,South_East South Central,Alabama,"Demopolis, Alabama",1161394946,B
5074296,Alabama,South_East South Central,Alabama,"Detroit, Alabama",1166066756,Start
5074296,Alabama,South_East South Central,Alabama,"Dodge City, Alabama",1166066982,Start
5074296,Alabama,South_East South Central,Alabama,"Dora, Alabama",1165647022,C
5074296,Alabama,South_East South Central,Alabama,"Dothan, Alabama",1179231968,B
5074296,Alabama,South_East South Central,Alabama,"Double Springs, Alabama",1159024876,C
5074296,Alabama,South_East South Central,Alabama,"Douglas, Alabama",1166067023,GA
5074296,Alabama,South_East South Central,Alabama,"Dozier, Alabama",1096813187,Start
5074296,Alabama,South_East South Central,Alabama,"Dutton, Alabama",1166067175,C
5074296,Alabama,South_East South Central,Alabama,"East Brewton, Alabama",1165647609,C
5074296,Alabama,South_East South Central,Alabama,"Eclectic, Alabama",1145048302,C
5074296,Alabama,South_East South Central,Alabama,"Edwardsville, Alabama",1166067508,C
5074296,Alabama,South_East South Central,Alabama,"Elba, Alabama",1163400900,C
5074296,Alabama,South_East South Central,Alabama,"Elberta, Alabama",1175895043,C
5074296,Alabama,South_East South Central,Alabama,"Eldridge, Alabama",1178177223,Start
5074296,Alabama,South_East South Central,Alabama,"Elkmont, Alabama",1176555126,C
5074296,Alabama,South_East South Central,Alabama,"Elmore, Alabama",1166067658,C
5074296,Alabama,South_East South Central,Alabama,"Emelle, Alabama",1158753175,C
5074296,Alabama,South_East South Central,Alabama,"Enterprise, Alabama",1160273773,C
5074296,Alabama,South_East South Central,Alabama,"Epes, Alabama",1166067751,C
5074296,Alabama,South_East South Central,Alabama,"Ethelsville, Alabama",1166067848,Start
5074296,Alabama,South_East South Central,Alabama,"Eufaula, Alabama",1160493671,GA
5074296,Alabama,South_East South Central,Alabama,"Eutaw, Alabama",1158611853,C
5074296,Alabama,South_East South Central,Alabama,"Eva, Alabama",1166067877,GA
5074296,Alabama,South_East South Central,Alabama,"Evergreen, Conecuh County, Alabama",1158611789,C
5074296,Alabama,South_East South Central,Alabama,"Excel, Alabama",1166067942,C
5074296,Alabama,South_East South Central,Alabama,"Fairfield, Alabama",1177239572,C
5074296,Alabama,South_East South Central,Alabama,"Fairhope, Alabama",1173963070,C
5074296,Alabama,South_East South Central,Alabama,"Fairview, Alabama",1166068021,C
5074296,Alabama,South_East South Central,Alabama,"Falkville, Alabama",1166068054,GA
5074296,Alabama,South_East South Central,Alabama,"Faunsdale, Alabama",1167428050,GA
5074296,Alabama,South_East South Central,Alabama,"Fayette, Alabama",1142947111,C
5074296,Alabama,South_East South Central,Alabama,"Five Points, Alabama",1166068289,C
5074296,Alabama,South_East South Central,Alabama,"Flomaton, Alabama",1166244039,C
5074296,Alabama,South_East South Central,Alabama,"Florala, Alabama",1166068321,C
5074296,Alabama,South_East South Central,Alabama,"Florence, Alabama",1178304592,C
5074296,Alabama,South_East South Central,Alabama,"Foley, Alabama",1166414056,C
5074296,Alabama,South_East South Central,Alabama,"Forkland, Alabama",1166068466,C
5074296,Alabama,South_East South Central,Alabama,"Fort Deposit, Alabama",1177020476,C
5074296,Alabama,South_East South Central,Alabama,"Fort Payne, Alabama",1172551841,GA
5074296,Alabama,South_East South Central,Alabama,"Franklin, Alabama",1166068620,GA
5074296,Alabama,South_East South Central,Alabama,"Frisco City, Alabama",1166068863,C
5074296,Alabama,South_East South Central,Alabama,"Fruithurst, Alabama",1166068877,Start
5074296,Alabama,South_East South Central,Alabama,"Fulton, Alabama",1166068885,Start
5074296,Alabama,South_East South Central,Alabama,"Fultondale, Alabama",1165840932,C
5074296,Alabama,South_East South Central,Alabama,"Fyffe, Alabama",1160192215,C
5074296,Alabama,South_East South Central,Alabama,"Gadsden, Alabama",1177146243,C
5074296,Alabama,South_East South Central,Alabama,"Gainesville, Alabama",1166068936,C
5074296,Alabama,South_East South Central,Alabama,"Gantt, Alabama",1180408898,Start
5074296,Alabama,South_East South Central,Alabama,"Garden City, Alabama",1166068968,C
5074296,Alabama,South_East South Central,Alabama,"Gardendale, Alabama",1175530987,C
5074296,Alabama,South_East South Central,Alabama,"Gaylesville, Alabama",1166069113,C
5074296,Alabama,South_East South Central,Alabama,"Geiger, Alabama",1166069121,Start
5074296,Alabama,South_East South Central,Alabama,"Geneva, Alabama",1179698088,C
5074296,Alabama,South_East South Central,Alabama,"Georgiana, Alabama",1178540000,Start
5074296,Alabama,South_East South Central,Alabama,"Geraldine, Alabama",1166069211,C
5074296,Alabama,South_East South Central,Alabama,"Gilbertown, Alabama",1166069407,C
5074296,Alabama,South_East South Central,Alabama,"Glen Allen, Alabama",1166069457,C
5074296,Alabama,South_East South Central,Alabama,"Glencoe, Alabama",1165748058,C
5074296,Alabama,South_East South Central,Alabama,"Glenwood, Alabama",1096814086,Start
5074296,Alabama,South_East South Central,Alabama,"Goldville, Alabama",1177535939,Start
5074296,Alabama,South_East South Central,Alabama,"Good Hope, Alabama",1165748200,C
5074296,Alabama,South_East South Central,Alabama,"Goodwater, Alabama",1166069571,C
5074296,Alabama,South_East South Central,Alabama,"Gordo, Alabama",1176908359,C
5074296,Alabama,South_East South Central,Alabama,"Gordon, Alabama",1166069580,C
5074296,Alabama,South_East South Central,Alabama,"Gordonville, Alabama",1166069594,C
5074296,Alabama,South_East South Central,Alabama,"Goshen, Alabama",1166069601,C
5074296,Alabama,South_East South Central,Alabama,"Grant, Alabama",1166069728,GA
5074296,Alabama,South_East South Central,Alabama,"Graysville, Alabama",1177622200,C
5074296,Alabama,South_East South Central,Alabama,"Greensboro, Alabama",1172134373,C
5074296,Alabama,South_East South Central,Alabama,"Greenville, Alabama",1171417115,C
5074296,Alabama,South_East South Central,Alabama,"Grimes, Alabama",1166180119,Start
5074296,Alabama,South_East South Central,Alabama,"Grove Hill, Alabama",1144754911,C
5074296,Alabama,South_East South Central,Alabama,"Guin, Alabama",1173001379,C
5074296,Alabama,South_East South Central,Alabama,"Gulf Shores, Alabama",1174473447,C
5074296,Alabama,South_East South Central,Alabama,"Guntersville, Alabama",1169878221,C
5074296,Alabama,South_East South Central,Alabama,"Gurley, Alabama",1173078483,C
5074296,Alabama,South_East South Central,Alabama,"Gu-Win, Alabama",1175521277,C
5074296,Alabama,South_East South Central,Alabama,"Hackleburg, Alabama",1167581471,GA
5074296,Alabama,South_East South Central,Alabama,"Haleburg, Alabama",1166180281,C
5074296,Alabama,South_East South Central,Alabama,"Haleyville, Alabama",1168590141,GA
5074296,Alabama,South_East South Central,Alabama,"Hamilton, Alabama",1170634832,C
5074296,Alabama,South_East South Central,Alabama,"Hammondville, Alabama",1166180369,C
5074296,Alabama,South_East South Central,Alabama,"Hanceville, Alabama",1169612470,C
5074296,Alabama,South_East South Central,Alabama,"Harpersville, Alabama",1177953234,C
5074296,Alabama,South_East South Central,Alabama,"Hartford, Alabama",1165749307,C
5074296,Alabama,South_East South Central,Alabama,"Hartselle, Alabama",1165749341,C
5074296,Alabama,South_East South Central,Alabama,"Hayden, Alabama",1166180747,C
5074296,Alabama,South_East South Central,Alabama,"Hayneville, Alabama",1166180764,C
5074296,Alabama,South_East South Central,Alabama,"Headland, Alabama",1168369252,C
5074296,Alabama,South_East South Central,Alabama,"Heath, Alabama",1166180800,Start
5074296,Alabama,South_East South Central,Alabama,"Heflin, Alabama",1176321971,C
5074296,Alabama,South_East South Central,Alabama,"Helena, Alabama",1177702091,C
5074296,Alabama,South_East South Central,Alabama,"Henagar, Alabama",1165749718,C
5074296,Alabama,South_East South Central,Alabama,"Highland Lake, Alabama",1166180993,Start
5074296,Alabama,South_East South Central,Alabama,"Hillsboro, Alabama",1166181055,C
5074296,Alabama,South_East South Central,Alabama,"Hobson City, Alabama",1166181157,C
5074296,Alabama,South_East South Central,Alabama,"Hodges, Alabama",1166181162,C
5074296,Alabama,South_East South Central,Alabama,"Hokes Bluff, Alabama",1165750177,C
5074296,Alabama,South_East South Central,Alabama,"Holly Pond, Alabama",1166181271,C
5074296,Alabama,South_East South Central,Alabama,"Hollywood, Alabama",1166181286,C
5074296,Alabama,South_East South Central,Alabama,"Homewood, Alabama",1177622299,GA
5074296,Alabama,South_East South Central,Alabama,"Hoover, Alabama",1180348406,C
5074296,Alabama,South_East South Central,Alabama,"Horn Hill, Alabama",1166181398,Start
5074296,Alabama,South_East South Central,Alabama,"Hueytown, Alabama",1177622536,C
5074296,Alabama,South_East South Central,Alabama,"Huntsville, Alabama",1180130440,FA
5074296,Alabama,South_East South Central,Alabama,"Hurtsboro, Alabama",1096814754,C
5074296,Alabama,South_East South Central,Alabama,"Hytop, Alabama",1166181602,Start
5074296,Alabama,South_East South Central,Alabama,"Ider, Alabama",1166181612,C
5074296,Alabama,South_East South Central,Alabama,"Indian Springs Village, Alabama",1166181665,C
5074296,Alabama,South_East South Central,Alabama,"Irondale, Alabama",1169440818,C
5074296,Alabama,South_East South Central,Alabama,"Jackson, Alabama",1165750992,C
5074296,Alabama,South_East South Central,Alabama,"Jackson's Gap, Alabama",1166181798,Start
5074296,Alabama,South_East South Central,Alabama,"Jacksonville, Alabama",1175988040,C
5074296,Alabama,South_East South Central,Alabama,"Jasper, Alabama",1174380579,C
5074296,Alabama,South_East South Central,Alabama,"Jemison, Alabama",1165751151,C
5074296,Alabama,South_East South Central,Alabama,"Kansas, Alabama",1166182143,Start
5074296,Alabama,South_East South Central,Alabama,"Kellyton, Alabama",1166182186,Stub
5074296,Alabama,South_East South Central,Alabama,"Kennedy, Alabama",1166182247,Start
5074296,Alabama,South_East South Central,Alabama,"Killen, Alabama",1166182386,C
5074296,Alabama,South_East South Central,Alabama,"Kimberly, Alabama",1177622633,C
5074296,Alabama,South_East South Central,Alabama,"Kinsey, Alabama",1166182487,C
5074296,Alabama,South_East South Central,Alabama,"Kinston, Alabama",1166182489,C
5074296,Alabama,South_East South Central,Alabama,"LaFayette, Alabama",1165752571,C
5074296,Alabama,South_East South Central,Alabama,"Lake View, Alabama",1170831381,C
5074296,Alabama,South_East South Central,Alabama,"Lakeview, Alabama",1166205391,Start
5074296,Alabama,South_East South Central,Alabama,"Lanett, Alabama",1165889187,C
5074296,Alabama,South_East South Central,Alabama,"Langston, Alabama",1171521067,C
5074296,Alabama,South_East South Central,Alabama,"Leeds, Alabama",1179531175,C
5074296,Alabama,South_East South Central,Alabama,"Leesburg, Alabama",1166205728,C
5074296,Alabama,South_East South Central,Alabama,"Leighton, Alabama",1148926606,C
5074296,Alabama,South_East South Central,Alabama,"Lester, Alabama",1166205815,Start
5074296,Alabama,South_East South Central,Alabama,"Level Plains, Alabama",1165890044,Start
5074296,Alabama,South_East South Central,Alabama,"Lexington, Alabama",1166205880,Start
5074296,Alabama,South_East South Central,Alabama,"Libertyville, Alabama",1166205930,Start
5074296,Alabama,South_East South Central,Alabama,"Lincoln, Alabama",1165890317,C
5074296,Alabama,South_East South Central,Alabama,"Linden, Alabama",1170891816,GA
5074296,Alabama,South_East South Central,Alabama,"Lineville, Alabama",1165890459,GA
5074296,Alabama,South_East South Central,Alabama,"Lipscomb, Alabama",1177622747,C
5074296,Alabama,South_East South Central,Alabama,"Lisman, Alabama",1166206088,C
5074296,Alabama,South_East South Central,Alabama,"Littleville, Alabama",1166206172,Start
5074296,Alabama,South_East South Central,Alabama,"Livingston, Alabama",1165891122,C
5074296,Alabama,South_East South Central,Alabama,"Loachapoka, Alabama",1166206211,C
5074296,Alabama,South_East South Central,Alabama,"Lockhart, Alabama",1166206220,C
5074296,Alabama,South_East South Central,Alabama,"Locust Fork, Alabama",1173287337,C
5074296,Alabama,South_East South Central,Alabama,"Louisville, Alabama",1166206343,Start
5074296,Alabama,South_East South Central,Alabama,"Lowndesboro, Alabama",1166206408,C
5074296,Alabama,South_East South Central,Alabama,"Loxley, Alabama",1170361974,C
5074296,Alabama,South_East South Central,Alabama,"Luverne, Alabama",1173068585,C
5074296,Alabama,South_East South Central,Alabama,"Lynn, Alabama",1166206561,Start
5074296,Alabama,South_East South Central,Alabama,"Madison, Alabama",1177703025,C
5074296,Alabama,South_East South Central,Alabama,"Madrid, Alabama",1166206649,C
5074296,Alabama,South_East South Central,Alabama,"Magnolia Springs, Alabama",1166206656,GA
5074296,Alabama,South_East South Central,Alabama,"Malvern, Alabama",1166206718,C
5074296,Alabama,South_East South Central,Alabama,"Maplesville, Alabama",1166206829,C
5074296,Alabama,South_East South Central,Alabama,"Margaret, Alabama",1165892174,C
5074296,Alabama,South_East South Central,Alabama,"Marion, Alabama",1165892206,GA
5074296,Alabama,South_East South Central,Alabama,"Maytown, Alabama",1166207284,Start
5074296,Alabama,South_East South Central,Alabama,"McIntosh, Alabama",1176350576,C
5074296,Alabama,South_East South Central,Alabama,"McKenzie, Alabama",1166207344,Start
5074296,Alabama,South_East South Central,Alabama,"McMullen, Alabama",1166207363,Start
5074296,Alabama,South_East South Central,Alabama,"Memphis, Alabama",1166207484,Start
5074296,Alabama,South_East South Central,Alabama,"Mentone, Alabama",1166207510,GA
5074296,Alabama,South_East South Central,Alabama,"Midfield, Alabama",1165893352,C
5074296,Alabama,South_East South Central,Alabama,"Midland City, Alabama",1166207749,C
5074296,Alabama,South_East South Central,Alabama,"Midway, Alabama",1158753496,C
5074296,Alabama,South_East South Central,Alabama,"Millbrook, Alabama",1178021676,C
5074296,Alabama,South_East South Central,Alabama,"Millport, Alabama",1166207935,C
5074296,Alabama,South_East South Central,Alabama,"Millry, Alabama",1166207936,Start
5074296,Alabama,South_East South Central,Alabama,"Mobile, Alabama",1180350145,GA
5074296,Alabama,South_East South Central,Alabama,"Monroeville, Alabama",1172371452,C
5074296,Alabama,South_East South Central,Alabama,"Montevallo, Alabama",1177552745,C
5074296,Alabama,South_East South Central,Alabama,"Montgomery, Alabama",1180299743,GA
5074296,Alabama,South_East South Central,Alabama,"Moody, Alabama",1180442956,C
5074296,Alabama,South_East South Central,Alabama,"Mooresville, Alabama",1169255573,C
5074296,Alabama,South_East South Central,Alabama,"Morris, Alabama",1177624137,C
5074296,Alabama,South_East South Central,Alabama,"Mosses, Alabama",1175025748,C
5074296,Alabama,South_East South Central,Alabama,"Moulton, Alabama",1165894467,C
5074296,Alabama,South_East South Central,Alabama,"Moundville, Alabama",1166208667,C
5074296,Alabama,South_East South Central,Alabama,"Mount Vernon, Alabama",1166208775,GA
5074296,Alabama,South_East South Central,Alabama,"Mountain Brook, Alabama",1172621297,C
5074296,Alabama,South_East South Central,Alabama,"Mulga, Alabama",1157496931,Start
5074296,Alabama,South_East South Central,Alabama,"Munford, Alabama",1178871326,C
5074296,Alabama,South_East South Central,Alabama,"Muscle Shoals, Alabama",1178909921,C
5074296,Alabama,South_East South Central,Alabama,"Myrtlewood, Alabama",1166208882,GA
5074296,Alabama,South_East South Central,Alabama,"Napier Field, Alabama",1166208894,Start
5074296,Alabama,South_East South Central,Alabama,"Natural Bridge, Alabama",1166208941,C
5074296,Alabama,South_East South Central,Alabama,"Nauvoo, Alabama",1096820857,C
5074296,Alabama,South_East South Central,Alabama,"Nectar, Alabama",1166208963,Start
5074296,Alabama,South_East South Central,Alabama,"Needham, Alabama",1166208968,Start
5074296,Alabama,South_East South Central,Alabama,"New Brockton, Alabama",1166209021,C
5074296,Alabama,South_East South Central,Alabama,"New Hope, Alabama",1179883996,C
5074296,Alabama,South_East South Central,Alabama,"New Site, Alabama",1166209336,Start
5074296,Alabama,South_East South Central,Alabama,"Newbern, Alabama",1180353697,GA
5074296,Alabama,South_East South Central,Alabama,"Newton, Alabama",1166209571,C
5074296,Alabama,South_East South Central,Alabama,"Newville, Alabama",1177928995,C
5074296,Alabama,South_East South Central,Alabama,"North Courtland, Alabama",1166209704,Start
5074296,Alabama,South_East South Central,Alabama,"North Johns, Alabama",1166209738,Start
5074296,Alabama,South_East South Central,Alabama,"Northport, Alabama",1167817987,C
5074296,Alabama,South_East South Central,Alabama,"Notasulga, Alabama",1175854552,C
5074296,Alabama,South_East South Central,Alabama,"Oak Grove, Alabama",1124809704,C
5074296,Alabama,South_East South Central,Alabama,"Oak Hill, Alabama",1166209958,C
5074296,Alabama,South_East South Central,Alabama,"Oakman, Alabama",1174954255,Start
5074296,Alabama,South_East South Central,Alabama,"Odenville, Alabama",1166210198,C
5074296,Alabama,South_East South Central,Alabama,"Ohatchee, Alabama",1166210252,C
5074296,Alabama,South_East South Central,Alabama,"Oneonta, Alabama",1166092446,C
5074296,Alabama,South_East South Central,Alabama,"Onycha, Alabama",1166210466,Start
5074296,Alabama,South_East South Central,Alabama,"Opelika, Alabama",1165896665,C
5074296,Alabama,South_East South Central,Alabama,"Opp, Alabama",1165896683,C
5074296,Alabama,South_East South Central,Alabama,"Orange Beach, Alabama",1179725369,C
5074296,Alabama,South_East South Central,Alabama,"Orrville, Alabama",1175606582,C
5074296,Alabama,South_East South Central,Alabama,"Owens Cross Roads, Alabama",1172849762,C
5074296,Alabama,South_East South Central,Alabama,"Oxford, Alabama",1165896955,C
5074296,Alabama,South_East South Central,Alabama,"Ozark, Alabama",1175658038,C
5074296,Alabama,South_East South Central,Alabama,"Paint Rock, Alabama",1166210847,C
5074296,Alabama,South_East South Central,Alabama,"Parrish, Alabama",1166210982,C
5074296,Alabama,South_East South Central,Alabama,"Pelham, Alabama",1174024956,C
5074296,Alabama,South_East South Central,Alabama,"Pell City, Alabama",1171029165,C
5074296,Alabama,South_East South Central,Alabama,"Pennington, Alabama",1135170013,C
5074296,Alabama,South_East South Central,Alabama,"Perdido Beach, Alabama",1166211174,Start
5074296,Alabama,South_East South Central,Alabama,"Petrey, Alabama",1096817791,C
5074296,Alabama,South_East South Central,Alabama,"Phenix City, Alabama",1160284984,C
5074296,Alabama,South_East South Central,Alabama,"Phil Campbell, Alabama",1176609767,C
5074296,Alabama,South_East South Central,Alabama,"Pickensville, Alabama",1166211277,C
5074296,Alabama,South_East South Central,Alabama,"Piedmont, Alabama",1174026676,C
5074296,Alabama,South_East South Central,Alabama,"Pike Road, Alabama",1170574167,C
5074296,Alabama,South_East South Central,Alabama,"Pinckard, Alabama",1166211323,Start
5074296,Alabama,South_East South Central,Alabama,"Pine Apple, Alabama",1166211355,C
5074296,Alabama,South_East South Central,Alabama,"Pine Hill, Alabama",1166211367,Start
5074296,Alabama,South_East South Central,Alabama,"Pine Ridge, Alabama",1166211388,Start
5074296,Alabama,South_East South Central,Alabama,"Pinson, Alabama",1178582292,C
5074296,Alabama,South_East South Central,Alabama,"Pisgah, Alabama",1166211442,C
5074296,Alabama,South_East South Central,Alabama,"Pleasant Grove, Alabama",1177636010,C
5074296,Alabama,South_East South Central,Alabama,"Pleasant Groves, Alabama",1166229073,Start
5074296,Alabama,South_East South Central,Alabama,"Pollard, Alabama",1166229176,Start
5074296,Alabama,South_East South Central,Alabama,"Powell, Alabama",1166229333,C
5074296,Alabama,South_East South Central,Alabama,"Prattville, Alabama",1167939343,C
5074296,Alabama,South_East South Central,Alabama,"Priceville, Alabama",1166229409,C
5074296,Alabama,South_East South Central,Alabama,"Prichard, Alabama",1176865405,C
